,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
3517,2010,General,"Deakins, John P.",Deakins,John P.,REP,STR,22,73501.52,581199.47,,,,,,0.0,3.0,0.28011007295533086,4377.0,15626.0,,,,,
3627,2010,General,"Johannesen, Chad E",Johannesen,Chad E,REP,STR,22,16574.0,581199.47,,,,,,,,,,,,,,,
3773,2010,General,"Guinn, Reuben Kent",Guinn,Reuben Kent,REP,STR,22,1150.0,581199.47,,,,,,,,,,,,,,,
3608,2010,General,"Paugh, Jon ",Paugh,Jon ,DEM,STR,22,23053.53,581199.47,0.0,2.0,0.39305147907528937,23837.0,60646.0,,,,,,,,,,
3813,2010,General,"Martello, Sarah ",Martello,Sarah ,DEM,STR,22,68.6,581199.47,,,,,,,,,,,,,,,
3615,2010,General,"Chestnut, Charles S. ""Chuck""",Chestnut,"Charles S. ""Chuck""",DEM,STR,23,20200.0,20200.0,,,,,,,,,,,,,,,
3452,2010,General,"Baxley, Dennis ",Baxley,Dennis ,REP,STR,24,131623.35,221186.48,1.0,1.0,0.6443144748779123,33380.0,51807.0,,,,,,,,,,
3543,2010,General,"Kelly, Kurt ",Kelly,Kurt ,REP,STR,24,52245.0,221186.48,,,,,,,,,,,,,,,
3576,2010,General,"Hageloh, Michael ",Hageloh,Michael ,DEM,STR,24,37318.13,221186.48,0.0,2.0,0.35568552512208773,18427.0,51807.0,,,,,,,,,,
3453,2010,General,"Joyce, Rick ",Joyce,Rick ,REP,STR,25,131005.09,338126.28,,,,,,0.0,2.0,0.46733264439086003,8140.0,17418.0,,,,,
3461,2010,General,"Metz, Larry ",Metz,Larry ,REP,STR,25,125988.85,338126.28,1.0,1.0,0.6380082295575253,35197.0,55167.0,1.0,1.0,0.53266735560914,9278.0,17418.0,,,,,
3600,2010,General,"Warner, Corey ",Warner,Corey ,REP,STR,25,27450.0,338126.28,,,,,,,,,,,,,,,
3607,2010,General,"Beall, Kristin ",Beall,Kristin ,REP,STR,25,23366.31,338126.28,,,,,,,,,,,,,,,
3592,2010,General,"Wood, Frank Layne",Wood,Frank Layne,DEM,STR,25,30316.03,338126.28,0.0,2.0,0.36199177044247466,19970.0,55167.0,,,,,,,,,,
3401,2010,General,"Costello, Fred ",Costello,Fred ,REP,STR,26,233985.12,386414.64,1.0,1.0,0.6047792500307941,34369.0,56829.0,1.0,1.0,0.49955767267778156,7341.0,14695.0,,,,,
3564,2010,General,"Champion, Vince ",Champion,Vince ,REP,STR,26,39714.0,386414.64,,,,,,0.0,3.0,0.2253827832596121,3312.0,14695.0,,,,,
3656,2010,General,"McDonell, Nathan ",McDonell,Nathan ,REP,STR,26,10672.0,386414.64,,,,,,0.0,2.0,0.27505954406260635,4042.0,14695.0,,,,,
3794,2010,General,"Mentzer, Walter J.",Mentzer,Walter J.,REP,STR,26,295.27,386414.64,,,,,,,,,,,,,,,
3483,2010,General,"Huth, Tim ",Huth,Tim ,DEM,STR,26,101748.25,386414.64,0.0,2.0,0.39522074996920586,22460.0,56829.0,,,,,,,,,,
3764,2010,General,"Kennedy, Christopher ",Kennedy,Christopher ,NPA,STR,27,1515.98,66615.98,0.0,2.0,0.41713562651926345,12527.0,30031.0,,,,,,,,,,
3526,2010,General,"Taylor, Dwayne L.",Taylor,Dwayne L.,DEM,STR,27,65100.0,66615.98,1.0,1.0,0.5828643734807366,17504.0,30031.0,,,,,,,,,,
3810,2010,General,"Dembinsky, Richard Paul",Dembinsky,Richard Paul,WRI,STR,28,100.0,202684.34999999998,0.0,2.0,0.002700717822368577,114.0,42211.0,,,,,,,,,,
3435,2010,General,"Hukill, Dorothy L.",Hukill,Dorothy L.,REP,STR,28,157110.65,202684.34999999998,1.0,1.0,0.9972992821776314,42097.0,42211.0,1.0,1.0,0.6881110530636615,9220.0,13399.0,,,,,
3552,2010,General,"Valdes, Teresa A",Valdes,Teresa A,REP,STR,28,45473.7,202684.34999999998,,,,,,0.0,2.0,0.3118889469363385,4179.0,13399.0,,,,,
3456,2010,General,"Goodson, Tom ",Goodson,Tom ,REP,STR,29,126717.21,351078.48,,,,,,1.0,1.0,0.31142315296776013,7718.0,24783.0,,,,,
3465,2010,General,"Grall, Erin K.",Grall,Erin K.,REP,STR,29,122745.04,351078.48,,,,,,0.0,2.0,0.30012508574426017,7438.0,24783.0,,,,,
3537,2010,General,"Shealy, J. Roger",Shealy,J. Roger,REP,STR,29,55436.98,351078.48,,,,,,0.0,3.0,0.27825525561877096,6896.0,24783.0,,,,,
3580,2010,General,"Dale, Robert ""Rob""",Dale,"Robert ""Rob""",REP,STR,29,35220.25,351078.48,,,,,,0.0,4.0,0.11019650566920873,2731.0,24783.0,,,,,
3655,2010,General,"Sirois, Tyler I.",Sirois,Tyler I.,REP,STR,29,10959.0,351078.48,,,,,,,,,,,,,,,
3409,2010,General,"Workman, Ritch ",Workman,Ritch ,REP,STR,30,218810.0,282446.17,1.0,1.0,0.612670707070707,37909.0,61875.0,,,,,,,,,,
3815,2010,General,"Lacuesta, Christopher Allen",Lacuesta,Christopher Allen,REP,STR,30,58.44,282446.17,,,,,,,,,,,,,,,
3528,2010,General,"Tidd, Amy C.",Tidd,Amy C.,DEM,STR,30,63577.73,282446.17,0.0,2.0,0.3873292929292929,23966.0,61875.0,,,,,,,,,,
3423,2010,General,"Tobia, John ",Tobia,John ,REP,STR,31,183146.48,321770.75,1.0,1.0,0.6218163432977312,29517.0,47469.0,1.0,1.0,0.5066272920815879,7377.0,14561.0,,,,,
3482,2010,General,"Halbert, Lori ",Halbert,Lori ,REP,STR,31,104239.99,321770.75,,,,,,0.0,2.0,0.4933727079184122,7184.0,14561.0,,,,,
3692,2010,General,"Steele, Jason ",Steele,Jason ,REP,STR,31,5100.0,321770.75,,,,,,,,,,,,,,,
3788,2010,General,"O'Brien, Daniel Michael",O'Brien,Daniel Michael,REP,STR,31,441.85,321770.75,,,,,,,,,,,,,,,
3619,2010,General,"James, Jodi ",James,Jodi ,DEM,STR,31,19115.35,321770.75,0.0,2.0,0.37818365670226883,17952.0,47469.0,1.0,1.0,0.43992880450904776,2966.0,6742.0,,,,,
3673,2010,General,"Pishgar, Joe ",Pishgar,Joe ,DEM,STR,31,7920.08,321770.75,,,,,,0.0,2.0,0.28418866805102344,1916.0,6742.0,,,,,
3752,2010,General,"Havet, Jane ",Havet,Jane ,DEM,STR,31,1807.0,321770.75,,,,,,0.0,3.0,0.2758825274399288,1860.0,6742.0,,,,,
3459,2010,General,"Crisafulli, Steve ",Crisafulli,Steve ,REP,STR,32,126261.9,126261.9,,,,,,,,,,,,,,,
3385,2010,General,"Brodeur, Jason ",Brodeur,Jason ,REP,STR,33,286921.0,640971.89,1.0,1.0,0.5952432161164283,33211.0,55794.0,1.0,1.0,0.5143955184992184,7897.0,15352.0,,,,,
3425,2010,General,"Sterling, Alice ",Sterling,Alice ,REP,STR,33,178986.16,640971.89,,,,,,0.0,2.0,0.3727853048462741,5723.0,15352.0,,,,,
3462,2010,General,"Jones, Andrew ",Jones,Andrew ,REP,STR,33,125029.08,640971.89,,,,,,,,,,,,,,,
3637,2010,General,"DeCocq, James D.",DeCocq,James D.,REP,STR,33,14373.06,640971.89,,,,,,0.0,3.0,0.11281917665450755,1732.0,15352.0,,,,,
3729,2010,General,"Ackerman, Paul J",Ackerman,Paul J,REP,STR,33,2451.0,640971.89,,,,,,,,,,,,,,,
3774,2010,General,"Bland, Scott ",Bland,Scott ,REP,STR,33,1150.0,640971.89,,,,,,,,,,,,,,,
3780,2010,General,"Heriot, Karen S.",Heriot,Karen S.,REP,STR,33,750.0,640971.89,,,,,,,,,,,,,,,
3720,2010,General,"Perez, Franklin ",Perez,Franklin ,LIB,STR,33,3096.17,640971.89,,,,,,,,,,,,,,,
3723,2010,General,"Paul, Ellen ",Paul,Ellen ,LIB,STR,33,2856.42,640971.89,,,,,,,,,,,,,,,
3604,2010,General,"Cruz, Leo ",Cruz,Leo ,DEM,STR,33,25359.0,640971.89,0.0,2.0,0.3682654048822454,20547.0,55794.0,,,,,,,,,,
3756,2010,General,"DeVries, John ",DeVries,John ,TEA,STR,34,1781.82,412706.23000000004,0.0,3.0,0.0639288027442608,2665.0,41687.0,,,,,,,,,,
3381,2010,General,"Dorworth, Chris ",Dorworth,Chris ,REP,STR,34,311957.52,412706.23000000004,1.0,1.0,0.5242161825029386,21853.0,41687.0,,,,,,,,,,
3489,2010,General,"Barnes, Steve ",Barnes,Steve ,DEM,STR,34,97482.27,412706.23000000004,0.0,2.0,0.4118550147528006,17169.0,41687.0,,,,,,,,,,
3767,2010,General,"Hyde, Isadore Otis",Hyde,Isadore Otis,DEM,STR,34,1484.62,412706.23000000004,,,,,,,,,,,,,,,
3749,2010,General,"Virone, Juanita ""Nina""",Virone,"Juanita ""Nina""",TEA,STR,35,1881.82,1174567.54,0.0,3.0,0.02146073917528367,853.0,39747.0,,,,,,,,,,
3341,2010,General,"Cannon, Dean ",Cannon,Dean ,REP,STR,35,1109851.97,1174567.54,1.0,1.0,0.5788361385764963,23007.0,39747.0,,,,,,,,,,
3529,2010,General,"Mercado, Amy ",Mercado,Amy ,DEM,STR,35,62833.75,1174567.54,0.0,2.0,0.39970312224821997,15887.0,39747.0,,,,,,,,,,
3791,2010,General,"Limbaugh, Larry Lamar",Limbaugh,Larry Lamar,WRI,STR,36,336.5,231469.93,0.0,4.0,0.000405574810117248,11.0,27122.0,,,,,,,,,,
3492,2010,General,"Reynolds, Greg ",Reynolds,Greg ,REP,STR,36,94413.75,231469.93,0.0,2.0,0.3668608509696925,9950.0,27122.0,1.0,1.0,0.615201334286395,2582.0,4197.0,,,,,
3699,2010,General,"McCarthy, Craig ",McCarthy,Craig ,REP,STR,36,4651.91,231469.93,,,,,,0.0,2.0,0.38479866571360494,1615.0,4197.0,,,,,
3618,2010,General,"Gelzer, Lawanna ",Gelzer,Lawanna ,NPA,STR,36,19290.0,231469.93,0.0,3.0,0.035801194602167984,971.0,27122.0,,,,,,,,,,
3471,2010,General,"Randolph, Scott ",Randolph,Scott ,DEM,STR,36,112777.77,231469.93,1.0,1.0,0.5969323796180223,16190.0,27122.0,,,,,,,,,,
3542,2010,General,"Plakon, Scott ",Plakon,Scott ,REP,STR,37,52715.6,52715.6,,,,,,,,,,,,,,,
3731,2010,General,"Heinzelman, James ""Heinie""",Heinzelman,"James ""Heinie""",TEA,STR,38,2419.0,135582.1,0.0,2.0,0.180227494655723,6829.0,37891.0,,,,,,,,,,
3450,2010,General,"Nelson, Bryan ",Nelson,Bryan ,REP,STR,38,133060.0,135582.1,1.0,1.0,0.819772505344277,31062.0,37891.0,,,,,,,,,,
3808,2010,General,"Ainsworth, Joseph G.",Ainsworth,Joseph G.,DEM,STR,38,103.1,135582.1,,,,,,,,,,,,,,,
3613,2010,General,"Thompson, Geraldine F.",Thompson,Geraldine F.,DEM,STR,39,20475.95,20475.95,,,,,,0.0,1.0,0.21669758812615955,1752.0,8085.0,,,,,
3750,2010,General,"Dunmire, Darin Richard",Dunmire,Darin Richard,TEA,STR,40,1881.82,268310.89,0.0,3.0,0.036515831614703384,1505.0,41215.0,,,,,,,,,,
3393,2010,General,"Eisnaugle, Eric ",Eisnaugle,Eric ,REP,STR,40,254300.0,268310.89,1.0,1.0,0.6045129200533786,24915.0,41215.0,,,,,,,,,,
3647,2010,General,"Christian, Todd ",Christian,Todd ,DEM,STR,40,12129.07,268310.89,0.0,2.0,0.358971248331918,14795.0,41215.0,,,,,,,,,,
3757,2010,General,"Foley, Jon ",Foley,Jon ,TEA,STR,41,1781.82,282974.09,0.0,3.0,0.04514457812524383,2893.0,64083.0,,,,,,,,,,
3388,2010,General,"Precourt, Steve ",Precourt,Steve ,REP,STR,41,273030.25,282974.09,1.0,1.0,0.5750355008348548,36850.0,64083.0,,,,,,,,,,
3711,2010,General,"Butler, Kevin Michael",Butler,Kevin Michael,REP,STR,41,3665.2,282974.09,,,,,,,,,,,,,,,
3816,2010,General,"Eichinger, David Herbert",Eichinger,David Herbert,REP,STR,41,50.0,282974.09,,,,,,,,,,,,,,,
3702,2010,General,"Douglas, Lee ",Douglas,Lee ,DEM,STR,41,4446.82,282974.09,0.0,2.0,0.37981992103990136,24340.0,64083.0,,,,,,,,,,
3521,2010,General,"O'Toole, H. Marlene",O'Toole,H. Marlene,REP,STR,42,70092.75,72360.75,1.0,1.0,0.7611660140468643,61232.0,80445.0,,,,,,,,,,
3734,2010,General,"Shoobridge, Jeff ",Shoobridge,Jeff ,NPA,STR,42,2268.0,72360.75,0.0,2.0,0.23883398595313568,19213.0,80445.0,,,,,,,,,,
3574,2010,General,"Schultz, Ron ",Schultz,Ron ,REP,STR,43,37623.57,49918.770000000004,,,,,,0.0,2.0,0.493557242047473,15283.0,30965.0,,,,,
3646,2010,General,"Smith, Jimmie T.",Smith,Jimmie T.,REP,STR,43,12295.2,49918.770000000004,0.0,1.0,0.332603201347936,9870.0,29675.0,1.0,1.0,0.506442757952527,15682.0,30965.0,,,,,
3426,2010,General,"Schenck, Robert ",Schenck,Robert ,REP,STR,44,178715.6,323588.91,1.0,1.0,0.6017450751101916,33448.0,55585.0,,,,,,,,,,
3444,2010,General,"Rowden, Diane ",Rowden,Diane ,DEM,STR,44,141222.11,323588.91,0.0,2.0,0.3982549248898084,22137.0,55585.0,1.0,1.0,0.6953617810760668,5622.0,8085.0,,,,,
3712,2010,General,"Thompson, Jay A.",Thompson,Jay A.,DEM,STR,44,3651.2,323588.91,,,,,,0.0,2.0,0.21669758812615955,1752.0,8085.0,,,,,
3402,2010,General,"Corcoran, Richard ",Corcoran,Richard ,REP,STR,45,232641.95,432255.86000000004,,,,,,1.0,1.0,0.4258606885508407,5319.0,12490.0,,,,,
3440,2010,General,"Starkey, Kathryn E.",Starkey,Kathryn E.,REP,STR,45,145200.79,432255.86000000004,,,,,,0.0,2.0,0.3401921537229784,4249.0,12490.0,,,,,
3540,2010,General,"Calvo, Fabian ",Calvo,Fabian ,REP,STR,45,54413.12,432255.86000000004,,,,,,0.0,3.0,0.23394715772618094,2922.0,12490.0,,,,,
3591,2010,General,"Legg, John ",Legg,John ,REP,STR,46,30672.77,40444.06,,,,,,,,,,,,,,,
3784,2010,General,"Hamner, Harry C. (Buddy)",Hamner,Harry C. (Buddy),REP,STR,46,501.0,40444.06,,,,,,,,,,,,,,,
3663,2010,General,"Moore, Robert N.",Moore,Robert N.,DEM,STR,46,9116.0,40444.06,,,,,,,,,,,,,,,
3800,2010,General,"Borsch, Matthew W.",Borsch,Matthew W.,DEM,STR,46,154.29,40444.06,,,,,,,,,,,,,,,
3403,2010,General,"Grant, James ",Grant,James ,REP,STR,47,231613.96,588885.95,1.0,1.0,0.5871350969394515,26589.0,45286.0,1.0,1.0,0.3702510658455708,3908.0,10555.0,,,,,
3511,2010,General,"Guy, Irene ",Guy,Irene ,REP,STR,47,77958.17,588885.95,,,,,,0.0,3.0,0.24111795357650403,2545.0,10555.0,,,,,
3531,2010,General,"Reidy, Richard ",Reidy,Richard ,REP,STR,47,62070.51,588885.95,,,,,,,,,,,,,,,
3548,2010,General,"Blair, Brian ",Blair,Brian ,REP,STR,47,49868.83,588885.95,,,,,,0.0,2.0,0.2451918522027475,2588.0,10555.0,,,,,
3609,2010,General,"Aderhold, Tom ",Aderhold,Tom ,REP,STR,47,22951.24,588885.95,,,,,,0.0,4.0,0.14343912837517764,1514.0,10555.0,,,,,
3777,2010,General,"Burda, William G.",Burda,William G.,INT,STR,47,910.0,588885.95,,,,,,,,,,,,,,,
3447,2010,General,"Steinberg, Michael ",Steinberg,Michael ,DEM,STR,47,137071.96,588885.95,0.0,2.0,0.4128649030605485,18697.0,45286.0,,,,,,,,,,
3682,2010,General,"Mitchell, Christopher C.",Mitchell,Christopher C.,DEM,STR,47,6441.28,588885.95,,,,,,,,,,,,,,,
3418,2010,General,"Nehr, Peter F",Nehr,Peter F,REP,STR,48,199546.56,267686.91,1.0,1.0,0.614825169158462,30349.0,49362.0,1.0,1.0,0.5622346876895088,7417.0,13192.0,,,,,
3597,2010,General,"Mueller, Steven ",Mueller,Steven ,REP,STR,48,28207.53,267686.91,,,,,,0.0,2.0,0.23582474226804123,3111.0,13192.0,,,,,
3709,2010,General,"Baker, Marg ",Baker,Marg ,REP,STR,48,4111.91,267686.91,,,,,,0.0,3.0,0.20194057004244997,2664.0,13192.0,,,,,
3579,2010,General,"McKone, Tom ",McKone,Tom ,DEM,STR,48,35820.91,267686.91,0.0,2.0,0.38517483084153803,19013.0,49362.0,,,,,,,,,,
3714,2010,General,"La Chance, Betty ",La Chance,Betty ,NPA,STR,49,3514.76,65700.81999999999,0.0,2.0,0.24671754620754513,6821.0,27647.0,,,,,,,,,,
3530,2010,General,"Soto, Darren ",Soto,Darren ,DEM,STR,49,62186.06,65700.81999999999,1.0,1.0,0.7532824537924548,20826.0,27647.0,,,,,,,,,,
3458,2010,General,"Hooper, Ed ",Hooper,Ed ,REP,STR,50,126500.5,127721.4,1.0,1.0,0.5973733583489681,23880.0,39975.0,,,,,,,,,,
3771,2010,General,"Leonard, Shelly ",Leonard,Shelly ,DEM,STR,50,1220.9,127721.4,0.0,2.0,0.4026266416510319,16095.0,39975.0,,,,,,,,,,
3758,2010,General,"Torres, Victoria A.",Torres,Victoria A.,TEA,STR,51,1781.82,307649.39999999997,0.0,3.0,0.05537704700068695,2499.0,45127.0,,,,,,,,,,
3501,2010,General,"Ahern, Larry ",Ahern,Larry ,REP,STR,51,85486.22,307649.39999999997,1.0,1.0,0.5031577547809515,22706.0,45127.0,,,,,,,,,,
3688,2010,General,"Thompson, Dawn ",Thompson,Dawn ,REP,STR,51,5550.95,307649.39999999997,,,,,,,,,,,,,,,
3796,2010,General,"Haynes, Joe ",Haynes,Joe ,LIB,STR,51,240.67,307649.39999999997,,,,,,,,,,,,,,,
3414,2010,General,"Long, Janet C.",Long,Janet C.,DEM,STR,51,214589.74,307649.39999999997,0.0,2.0,0.4414651982183615,19922.0,45127.0,,,,,,,,,,
3379,2010,General,"Brandes, Jeff ",Brandes,Jeff ,REP,STR,52,321961.26,580463.65,1.0,1.0,0.5120433996383363,21237.0,41475.0,,,,,,,,,,
3534,2010,General,"Deneault, Connie ",Deneault,Connie ,REP,STR,52,57487.31,580463.65,,,,,,,,,,,,,,,
3417,2010,General,"Heller, Bill ",Heller,Bill ,DEM,STR,52,201015.08,580463.65,0.0,2.0,0.48795660036166366,20238.0,41475.0,,,,,,,,,,
3716,2010,General,"Cuba, Thomas R.",Cuba,Thomas R.,REP,STR,53,3214.8,112811.1,0.0,2.0,0.41454839612955413,13324.0,32141.0,,,,,,,,,,
3801,2010,General,"Giles, Jesse Wayne",Giles,Jesse Wayne,REP,STR,53,150.0,112811.1,,,,,,,,,,,,,,,
3478,2010,General,"Kriseman, Rick ",Kriseman,Rick ,DEM,STR,53,109446.3,112811.1,1.0,1.0,0.5854516038704458,18817.0,32141.0,,,,,,,,,,
3442,2010,General,"Frishe, James C.  ""Jim""",Frishe,"James C.  ""Jim""",REP,STR,54,144209.9,148822.59,1.0,1.0,0.6082005480564295,29963.0,49265.0,,,,,,,,,,
3700,2010,General,"Russell, Mary ",Russell,Mary ,DEM,STR,54,4612.69,148822.59,0.0,2.0,0.39179945194357046,19302.0,49265.0,,,,,,,,,,
3475,2010,General,"Rouson, Darryl Ervin",Rouson,Darryl Ervin,DEM,STR,55,110932.0,117618.86,1.0,1.0,0.99826460623089,24160.0,24202.0,1.0,1.0,0.7415063446582071,7246.0,9772.0,,,,,
3679,2010,General,"Sheffield, April Danielle",Sheffield,April Danielle,DEM,STR,55,6686.86,117618.86,,,,,,0.0,2.0,0.25849365534179286,2526.0,9772.0,,,,,
3420,2010,General,"Burgin, Rachel V.",Burgin,Rachel V.,REP,STR,56,198511.15,248404.72999999998,1.0,1.0,0.6216394660284317,30129.0,48467.0,1.0,1.0,0.5618029739776952,6045.0,10760.0,,,,,
3632,2010,General,"Johnson, Marc ",Johnson,Marc ,REP,STR,56,15605.13,248404.72999999998,,,,,,0.0,2.0,0.4381970260223048,4715.0,10760.0,,,,,
3584,2010,General,"Chalela, David ",Chalela,David ,DEM,STR,56,34288.45,248404.72999999998,0.0,2.0,0.3782573709946974,18333.0,48467.0,,,,,,,,,,
3751,2010,General,"Russell, Matthew ",Russell,Matthew ,TEA,STR,57,1861.82,1090114.04,,,,,,,,,,,,,,,
3355,2010,General,"Young, Dana ",Young,Dana ,REP,STR,57,561367.48,1090114.04,1.0,1.0,0.5643609811551746,25815.0,45742.0,1.0,1.0,0.5488736343420672,5677.0,10343.0,,,,,
3541,2010,General,"Marks, Todd ",Marks,Todd ,REP,STR,57,53550.74,1090114.04,,,,,,0.0,2.0,0.26307647684424246,2721.0,10343.0,,,,,
3555,2010,General,"Molloy, Dan ",Molloy,Dan ,REP,STR,57,42930.0,1090114.04,,,,,,0.0,3.0,0.18804988881369042,1945.0,10343.0,,,,,
3368,2010,General,"Frank, Stacy ",Frank,Stacy ,DEM,STR,57,392894.0,1090114.04,0.0,2.0,0.4356390188448253,19927.0,45742.0,,,,,,,,,,
3575,2010,General,"Somers, Clifford L.",Somers,Clifford L.,DEM,STR,57,37510.0,1090114.04,,,,,,,,,,,,,,,
3605,2010,General,"Redner, Joe ",Redner,Joe ,NPA,STR,58,24726.69,135761.69,0.0,2.0,0.27322541515037435,6532.0,23907.0,,,,,,,,,,
3518,2010,General,"Cruz, Janet ",Cruz,Janet ,DEM,STR,58,72510.0,135761.69,0.0,1.0,0.3682654048822454,20547.0,55794.0,,,,,,,,,,
3570,2010,General,"Scionti, Michael ",Scionti,Michael ,DEM,STR,58,38525.0,135761.69,,,,,,,,,,,,,,,
3807,2010,General,"Holt, Robert Milton",Holt,Robert Milton,REP,STR,59,107.91,29703.01,,,,,,,,,,,,,,,
3593,2010,General,"Reed, Betty ",Reed,Betty ,DEM,STR,59,29595.1,29703.01,,,,,,,,,,,,,,,
3389,2010,General,"Harrison, Shawn ",Harrison,Shawn ,REP,STR,60,272305.21,425456.12,1.0,1.0,0.560213747874666,23064.0,41170.0,1.0,1.0,0.592430691360865,5150.0,8693.0,,,,,
3566,2010,General,"Stroud, Trey ",Stroud,Trey ,REP,STR,60,39254.67,425456.12,,,,,,0.0,2.0,0.40756930863913493,3543.0,8693.0,,,,,
3776,2010,General,"Blair, Daniel ",Blair,Daniel ,REP,STR,60,1100.0,425456.12,,,,,,0.0,3.0,0.2451918522027475,2588.0,10555.0,,,,,
3480,2010,General,"Patterson, Russ ",Patterson,Russ ,DEM,STR,60,106441.14,425456.12,0.0,2.0,0.43978625212533395,18106.0,41170.0,1.0,1.0,0.7226965492707221,4063.0,5622.0,,,,,
3683,2010,General,"Cano, Christopher Carlos",Cano,Christopher Carlos,DEM,STR,60,6355.1,425456.12,,,,,,0.0,2.0,0.2773034507292778,1559.0,5622.0,,,,,
3344,2010,General,"Weatherford, Will ",Weatherford,Will ,REP,STR,61,904485.69,956962.95,1.0,1.0,0.6546807918296775,44680.0,68247.0,1.0,1.0,0.8031553843331499,13134.0,16353.0,,,,,
3691,2010,General,"Wright, Kevin ",Wright,Kevin ,REP,STR,61,5259.88,956962.95,,,,,,0.0,2.0,0.19684461566685013,3219.0,16353.0,,,,,
3550,2010,General,"McCullough, Elena ",McCullough,Elena ,DEM,STR,61,47217.38,956962.95,0.0,2.0,0.3453192081703225,23567.0,68247.0,,,,,,,,,,
3473,2010,General,"Glorioso, Rich ",Glorioso,Rich ,REP,STR,62,112085.0,112085.0,,,,,,,,,,,,,,,
3510,2010,General,"McKeel, Seth ",McKeel,Seth ,REP,STR,63,78305.0,78305.0,,,,,,,,,,,,,,,
3512,2010,General,"Stargel, Kelli ",Stargel,Kelli ,REP,STR,64,77940.0,127135.39,1.0,1.0,0.6428895197652503,26948.0,41917.0,,,,,,,,,,
3581,2010,General,"Combee, Neil ",Combee,Neil ,REP,STR,64,35167.82,127135.39,,,,,,,,,,,,,,,
3648,2010,General,"Ivell, Linda ",Ivell,Linda ,REP,STR,64,12031.75,127135.39,,,,,,,,,,,,,,,
3743,2010,General,"Castagnero, Carol ",Castagnero,Carol ,DEM,STR,64,1995.82,127135.39,0.0,2.0,0.3571104802347496,14969.0,41917.0,,,,,,,,,,
3487,2010,General,"Wood, John ",Wood,John ,REP,STR,65,97725.0,100075.0,1.0,1.0,0.6729624490892002,30072.0,44686.0,,,,,,,,,,
3733,2010,General,"Davis, Joshua M.",Davis,Joshua M.,NPA,STR,65,2350.0,100075.0,0.0,2.0,0.3270375509107998,14614.0,44686.0,,,,,,,,,,
3390,2010,General,"Albritton, Ben ",Albritton,Ben ,REP,STR,66,272076.28,304661.84,1.0,1.0,0.9988680168879642,32649.0,32686.0,1.0,1.0,0.7940374637235071,9029.0,11371.0,,,,,
3626,2010,General,"Newberry, Gary ",Newberry,Gary ,REP,STR,66,16611.56,304661.84,,,,,,,,,,,,,,,
3631,2010,General,"Baccus, Chevon ",Baccus,Chevon ,REP,STR,66,15974.0,304661.84,,,,,,0.0,2.0,0.20596253627649283,2342.0,11371.0,,,,,
3377,2010,General,"Steube, Greg ",Steube,Greg ,REP,STR,67,339229.32,761041.0,1.0,1.0,0.6782206466181845,55863.0,82367.0,1.0,1.0,0.5295086229309299,12220.0,23078.0,,,,,
3449,2010,General,"Guccione, Jeremiah ""JJ""",Guccione,"Jeremiah ""JJ""",REP,STR,67,136486.24,761041.0,,,,,,0.0,2.0,0.28334344397261463,6539.0,23078.0,,,,,
3457,2010,General,"McCann, Robert K.",McCann,Robert K.,REP,STR,67,126689.33,761041.0,,,,,,0.0,3.0,0.1871479330964555,4319.0,23078.0,,,,,
3792,2010,General,"Nisco, Marie ",Nisco,Marie ,REP,STR,67,300.0,761041.0,,,,,,,,,,,,,,,
3684,2010,General,"Studebaker, John M.",Studebaker,John M.,NPA,STR,67,6270.67,761041.0,0.0,3.0,0.04907305110056212,4042.0,82367.0,,,,,,,,,,
3438,2010,General,"Hafeez, Z. J.",Hafeez,Z. J.,DEM,STR,67,152065.44,761041.0,0.0,2.0,0.2727063022812534,22462.0,82367.0,,,,,,,,,,
3432,2010,General,"Boyd, Jim ",Boyd,Jim ,REP,STR,68,163785.0,183649.54,1.0,1.0,0.6202064896755162,26071.0,42036.0,,,,,,,,,,
3617,2010,General,"Miner, Dave ""Watchdog""",Miner,"Dave ""Watchdog""",NPA,STR,68,19864.54,183649.54,0.0,2.0,0.3797935103244838,15965.0,42036.0,,,,,,,,,,
3443,2010,General,"Pilon, Ray ",Pilon,Ray ,REP,STR,69,143932.23,437288.52,1.0,1.0,0.515061555924212,23596.0,45812.0,,,,,,,,,,
3783,2010,General,"Van Allen, William D.",Van Allen,William D.,LIB,STR,69,507.23,437288.52,,,,,,,,,,,,,,,
3383,2010,General,"Fitzgerald, Keith ",Fitzgerald,Keith ,DEM,STR,69,292849.06,437288.52,0.0,2.0,0.484938444075788,22216.0,45812.0,,,,,,,,,,
3421,2010,General,"Holder, Doug ",Holder,Doug ,REP,STR,70,197990.0,273039.2,1.0,1.0,0.6121443545971847,40879.0,66780.0,,,,,,,,,,
3515,2010,General,"Feehan, Nancy ",Feehan,Nancy ,DEM,STR,70,75049.2,273039.2,0.0,2.0,0.3878556454028152,25901.0,66780.0,,,,,,,,,,
3474,2010,General,"Roberson, Ken ",Roberson,Ken ,REP,STR,71,111245.0,114203.76,1.0,1.0,0.659365805818895,40340.0,61180.0,,,,,,,,,,
