,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
275,2024,General,"Priestly Jackson, Brenda A.",Priestly Jackson,Brenda A.,DEM,STR,13,15111.76,101732.26,,,,,,0.0,2.0,0.190214940628288,2531.0,13306.0,,,,,
236,2024,General,"Daniels, Kimberly ",Daniels,Kimberly ,DEM,STR,14,30359.56,50343.09,,,,,,1.0,1.0,0.6302831694815562,7501.0,11901.0,,,,,
258,2024,General,"Wakefield-Gamble, Therese V.",Wakefield-Gamble,Therese V.,DEM,STR,14,19983.53,50343.09,,,,,,0.0,2.0,0.3238383329132006,3854.0,11901.0,,,,,
93,2024,General,"Black, Dean ",Black,Dean ,REP,STR,15,116977.66,121601.6,,,,,,,,,,,,,,,
340,2024,General,"McManus, Gary ",McManus,Gary ,DEM,STR,15,4623.94,121601.6,,,,,,,,,,,,,,,
205,2024,General,"Michael, Kiyan Helen",Michael,Kiyan Helen,REP,STR,16,44781.44,100287.9,,,,,,,,,,,,,,,
189,2024,General,"Grage, Rachel ",Grage,Rachel ,DEM,STR,16,55506.46,100287.9,,,,,,,,,,,,,,,
179,2024,General,"Baker, Jessica ",Baker,Jessica ,REP,STR,17,59032.4,67689.17,,,,,,,,,,,,,,,
310,2024,General,"Morgan, Bryson ",Morgan,Bryson ,DEM,STR,17,8656.77,67689.17,,,,,,,,,,,,,,,
16,2024,General,"Primrose, Nick ",Primrose,Nick ,REP,STR,18,343812.75,493668.94,,,,,,0.0,2.0,0.4245465951864948,11166.0,26301.0,,,,,
69,2024,General,"Kendall, Kim ",Kendall,Kim ,REP,STR,18,144704.64,493668.94,,,,,,1.0,1.0,0.5754534048135052,15135.0,26301.0,,,,,
337,2024,General,"Matthews, Keith ",Matthews,Keith ,DEM,STR,18,5151.55,493668.94,,,,,,,,,,,,,,,
31,2024,General,"Greco, Sam ",Greco,Sam ,REP,STR,19,247564.22,522521.25,,,,,,1.0,1.0,0.6364461345663541,14728.0,23141.0,,,,,
66,2024,General,"St. George, James ",St. George,James ,REP,STR,19,147297.78,522521.25,,,,,,,,,,,,,,,
147,2024,General,"Boyer, Darryl ",Boyer,Darryl ,REP,STR,19,80625.87,522521.25,,,,,,0.0,2.0,0.36355386543364593,8413.0,23141.0,,,,,
330,2024,General,"Nellans, Matthew Kent",Nellans,Matthew Kent,REP,STR,19,6000.75,522521.25,,,,,,,,,,,,,,,
401,2024,General,"O'Brien, Donald ",O'Brien,Donald ,REP,STR,19,1026.0,522521.25,,,,,,,,,,,,,,,
211,2024,General,"Morley, Adam ",Morley,Adam ,DEM,STR,19,40006.63,522521.25,,,,,,,,,,,,,,,
63,2024,General,"Sapp, Judson ",Sapp,Judson ,REP,STR,20,160050.53,212033.43,,,,,,1.0,1.0,0.6489246143819248,14935.0,23015.0,,,,,
194,2024,General,"Watts, Jamie ",Watts,Jamie ,REP,STR,20,51328.5,212033.43,,,,,,0.0,2.0,0.35107538561807516,8080.0,23015.0,,,,,
402,2024,General,"Connolly, Tony ",Connolly,Tony ,DEM,STR,20,654.4,212033.43,,,,,,,,,,,,,,,
271,2024,General,"Hayes Hinson, Yvonne ",Hayes Hinson,Yvonne ,DEM,STR,21,16981.59,16981.59,,,,,,,,,,,,,,,
42,2024,General,"Johnson, Chad ",Johnson,Chad ,REP,STR,22,209509.52,399776.11,,,,,,1.0,1.0,0.6652372466028068,11945.0,17956.0,,,,,
188,2024,General,"Eagle-Glenn, Raemi ",Eagle-Glenn,Raemi ,REP,STR,22,56455.29,399776.11,,,,,,0.0,2.0,0.33476275339719314,6011.0,17956.0,,,,,
324,2024,General,"Woody, Robert ",Woody,Robert ,REP,STR,22,6291.22,399776.11,,,,,,,,,,,,,,,
89,2024,General,"Arreola, David ",Arreola,David ,DEM,STR,22,120611.93,399776.11,,,,,,1.0,1.0,0.5675779745860609,7370.0,12985.0,,,,,
321,2024,General,"Trask, Amy ",Trask,Amy ,DEM,STR,22,6908.15,399776.11,,,,,,0.0,2.0,0.43242202541393915,5615.0,12985.0,,,,,
67,2024,General,"Grow, J.J. ",Grow,J.J. ,REP,STR,23,146877.28,168273.91999999998,,,,,,,,,,,,,,,
306,2024,General,"Fields, Lazaro Pascual",Fields,Lazaro Pascual,REP,STR,23,9081.4,168273.91999999998,,,,,,,,,,,,,,,
354,2024,General,"Cloud, Tod Gordon",Cloud,Tod Gordon,REP,STR,23,3447.42,168273.91999999998,,,,,,,,,,,,,,,
309,2024,General,"Vowels, Judith ",Vowels,Judith ,DEM,STR,23,8867.82,168273.91999999998,,,,,,,,,,,,,,,
140,2024,General,"Chamberlin, Ryan D.",Chamberlin,Ryan D.,REP,STR,24,85656.9,96991.69,,,,,,,,,,,,,,,
293,2024,General,"Shaw, Robert L.",Shaw,Robert L.,DEM,STR,24,11334.79,96991.69,,,,,,,,,,,,,,,
231,2024,General,"Yarkosky, Taylor ",Yarkosky,Taylor ,REP,STR,25,31454.24,52252.87,,,,,,,,,,,,,,,
281,2024,General,"Helfrich, Banks ",Helfrich,Banks ,IND,STR,25,13511.89,52252.87,,,,,,,,,,,,,,,
315,2024,General,"Merritt, Fody ",Merritt,Fody ,DEM,STR,25,7286.74,52252.87,,,,,,,,,,,,,,,
49,2024,General,"Levine, Mike ",Levine,Mike ,REP,STR,26,184230.49,402364.13999999996,,,,,,0.0,3.0,0.24740666777611361,4460.0,18027.0,,,,,
139,2024,General,"Cobb, Nan ",Cobb,Nan ,REP,STR,26,85815.62,402364.13999999996,,,,,,1.0,1.0,0.3493648416264492,6298.0,18027.0,,,,,
148,2024,General,"Owens, Addie ",Owens,Addie ,REP,STR,26,79458.48,402364.13999999996,,,,,,0.0,2.0,0.26632273811504964,4801.0,18027.0,,,,,
218,2024,General,"Jordan, Mark V",Jordan,Mark V,REP,STR,26,35938.75,402364.13999999996,,,,,,,,,,,,,,,
301,2024,General,"Farner, Keith ",Farner,Keith ,REP,STR,26,9843.82,402364.13999999996,,,,,,0.0,4.0,0.13690575248238754,2468.0,18027.0,,,,,
320,2024,General,"Arndt, Jackie ",Arndt,Jackie ,DEM,STR,26,7076.98,402364.13999999996,,,,,,,,,,,,,,,
25,2024,General,"Gentry, Richard ",Gentry,Richard ,REP,STR,27,290707.56,436859.14,,,,,,1.0,1.0,0.36859254087391635,6335.0,17187.0,,,,,
86,2024,General,"Shives, Steve ",Shives,Steve ,REP,STR,27,122617.22,436859.14,,,,,,0.0,2.0,0.3304241577936813,5679.0,17187.0,,,,,
263,2024,General,"Sirolli, Beckie ",Sirolli,Beckie ,REP,STR,27,18505.0,436859.14,,,,,,0.0,3.0,0.3009833013324024,5173.0,17187.0,,,,,
398,2024,General,"Simpson, Dennis M.",Simpson,Dennis M.,LPF,STR,27,1187.88,436859.14,,,,,,,,,,,,,,,
